asset,Date,Open,High,Low,Close
NOK,2013-07-24,NA,499.34,495.6189,498.0328
NOK,2013-07-23,NA,498.1369,496.2971,497.613
NOK,2013-07-22,NA,497.2313,495.404,496.2863
NOK,2013-07-19,NA,496.8876,491.6947,496.1791
NOK,2013-07-18,NA,495.1138,489.7031,491.7519
NOK,2013-07-17,NA,495.4655,490.6429,495.0713
NOK,2013-07-16,NA,494.5297,492.2228,493.5595
NOK,2013-07-15,NA,494.7433,491.2009,494.2629
NOK,2013-07-12,NA,494.0426,491.2953,491.9032
NOK,2013-07-11,NA,493.3738,485.685,493.3738
NOK,2013-07-10,NA,485.6922,481.7475,485.6844
NOK,2013-07-09,NA,485.8576,482.2883,482.2981
NOK,2013-07-08,NA,483.1156,479.031,482.1802
NOK,2013-07-05,NA,482.9912,478.4813,479.0707
NOK,2013-07-04,NA,478.5479,471.3187,478.5479
NOK,2013-07-03,NA,476.8945,470.598,470.9273
NOK,2013-07-02,NA,476.9466,472.7046,476.8633
NOK,2013-07-01,NA,473.8907,467.9999,473.8907
NOK,2013-06-28,NA,473.9834,467.7599,468.7921
NOK,2013-06-27,NA,473.747,466.2547,470.6283
NOK,2013-06-26,NA,472.9149,465.7189,470.774
NOK,2013-06-25,NA,467.8569,457.968,465.9447
NOK,2013-06-24,NA,471.34,457.9754,457.9754
NOK,2013-06-21,NA,474.8771,470.8812,471.2343
NOK,2013-06-20,NA,477.1098,470.455,471.346
NOK,2013-06-19,NA,481.5629,476.5416,477.2287
NOK,2013-06-18,NA,481.2452,476.4885,481.2142
NOK,2013-06-17,NA,478.4952,473.9873,478.0682
NOK,2013-06-14,NA,477.9913,472.8942,474.0312
NOK,2013-06-13,NA,474.2269,466.5994,472.8643
NOK,2013-06-12,NA,476.698,469.9689,474.0325
NOK,2013-06-11,NA,478.657,470.0017,470.0127
NOK,2013-06-10,NA,482.7317,477.9031,478.348
NOK,2013-06-07,NA,481.5795,474.0548,480.7831
NOK,2013-06-06,NA,484.0371,479.4137,479.7037
NOK,2013-06-05,NA,487.4743,482.8729,482.8894
NOK,2013-06-04,NA,491.8503,486.1396,486.573
NOK,2013-06-03,NA,491.8058,486.5057,488.5053
NOK,2013-05-31,NA,493.7518,488.8919,491.709
NOK,2013-05-30,NA,494.5987,490.6354,491.9731
NOK,2013-05-29,NA,496.238,491.6538,491.7487
NOK,2013-05-28,NA,496.6851,491.2564,496.2343
NOK,2013-05-27,NA,491.2552,487.1479,491.2552
NOK,2013-05-24,NA,490.2783,486.1382,487.1479
