Date,asset,exog,value
2011-04-15,AUD,eqy_z,1.1043076576870587
2011-04-22,AUD,eqy_z,1.254906236525715
2011-04-29,AUD,eqy_z,-0.11680581370169718
2011-05-06,AUD,eqy_z,1.1441751000956433
2011-05-13,AUD,eqy_z,-0.030347296433396426
2011-05-20,AUD,eqy_z,0.476468484413333
2011-05-27,AUD,eqy_z,-1.0169373216560038
2011-06-03,AUD,eqy_z,-0.8303887140730231
2011-06-10,AUD,eqy_z,-0.329730474791154
2011-06-17,AUD,eqy_z,-0.4006506956548299
2011-06-24,AUD,eqy_z,0.40804728237181687
2011-07-01,AUD,eqy_z,-0.15833177576688517
2011-07-08,AUD,eqy_z,0.01100686939866119
2011-07-15,AUD,eqy_z,-0.4964002148814448
2011-07-22,AUD,eqy_z,-0.22489420224266754
2011-07-29,AUD,eqy_z,0.042785664860219896
2011-08-05,AUD,eqy_z,0.6578577310383065
2011-08-12,AUD,eqy_z,0.6305803876682683
2011-08-19,AUD,eqy_z,1.960057996139243
2011-08-26,AUD,eqy_z,0.8751623518383087
2011-09-02,AUD,eqy_z,1.3018004758030406
2011-09-09,AUD,eqy_z,0.9513041413938098
2011-09-16,AUD,eqy_z,-0.6252512772903402
2011-09-23,AUD,eqy_z,-0.23401745009525188
2011-09-30,AUD,eqy_z,-0.12508570641082672
2011-10-07,AUD,eqy_z,0.9139692275071711
2011-10-14,AUD,eqy_z,-1.0591612451755987
2011-10-21,AUD,eqy_z,-0.5777162613821332
2011-10-28,AUD,eqy_z,-0.2896787966234595
2011-11-04,AUD,eqy_z,0.17916140541243886
2011-11-11,AUD,eqy_z,1.36559625927154
2011-11-18,AUD,eqy_z,0.70285118767709
2011-11-25,AUD,eqy_z,0.036112256777795615
2011-12-02,AUD,eqy_z,0.08478780095758265
2011-12-09,AUD,eqy_z,0.09221331651930131
2011-12-16,AUD,eqy_z,0.6807057027045113
2011-12-23,AUD,eqy_z,-0.45602928226019007
