Date,asset,spd,carry,endo
2014-04-11,CHF,0.01809799424741966,-6.924323376037903e-6,0.018091069924043624
2014-04-18,CHF,-0.00841105208743291,-8.309487286227664e-6,-0.008419361574719139
2014-04-25,CHF,0.0019260188359137426,-7.98242569873172e-6,0.0019180364102150107
2014-05-02,CHF,0.004318679288720623,-1.046438503244313e-5,0.004308214903688179
2014-05-09,CHF,-0.009521722357902662,-8.94438742362637e-6,-0.009530666745326289
2014-05-16,CHF,-0.007082262192297101,-1.0348937960167795e-5,-0.007092611130257269
2014-05-23,CHF,-0.0034665955878833143,-1.4890378704875547e-5,-0.00348148596658819
2014-05-30,CHF,6.700167754842695e-4,-2.461189651121762e-5,6.454048789730519e-4
2014-06-06,CHF,0.0017889092427245817,-1.3966608954232429e-5,0.0017749426337703494
2014-06-13,CHF,-0.007247620508048683,-1.308137124743066e-5,-0.007260701879296114
2014-06-20,CHF,0.0055704243861463,-9.42538633131985e-6,0.00556099899981498
2014-06-27,CHF,0.004815508493680676,-1.0098805014452062e-5,0.004805409688666224
2014-07-04,CHF,-0.0036976903580597936,-1.1772833623936369e-5,-0.00370946319168373
2014-07-11,CHF,0.002127303047108009,-5.904752579739497e-6,0.0021213982945282694
2014-07-18,CHF,-0.007036383529449311,-7.30908112108922e-6,-0.0070436926105704005
2014-07-25,CHF,-0.007097734133473907,-6.538572694859142e-7,-0.007098387990743393
2014-08-01,CHF,-0.0011044843181545472,-8.26940856313407e-7,-0.0011053112590108606
2014-08-08,CHF,5.520896733839514e-4,1.6730041484030851e-6,5.537626775323545e-4
2014-08-15,CHF,0.0030973476089574264,-2.1347338644881744e-6,0.003095212875092938
2014-08-22,CHF,-0.012332241736270302,-3.7696002021587136e-6,-0.012336011336472462
2014-08-29,CHF,-0.004803502685950617,-1.61798815173119e-5,-0.004819682567467929
2014-09-05,CHF,-0.013951451079362465,-7.63613125703613e-6,-0.013959087210619501
2014-09-12,CHF,-0.0022528572527907853,-1.2773472031361812e-5,-0.002265630724822147
2014-09-19,CHF,-0.008111036997087505,-9.156025460835231e-6,-0.00812019302254834
2014-09-26,CHF,-0.011204006853818685,-1.2350118658593465e-5,-0.011216356972477278
